ProvinceID,DistrictID,DistrictName,DistrictNameEng,PostCode,AutoID
102,000270,เมืองสมุทรปราการ,Muang Samutprakan,10270,270
102,001541,บางเสาธง,Bangsaothong,10540,1541
102,003560,บางบ่อ,Bang  Bo,10560,3560
102,004540,บางพลี,Bangphli,10540,4540
102,006130,พระประแดง,Phra Pradaeng,10130,6130
102,007290,พระสมุทรเจดีย์,Phra Samut Chedi,10290,7290
106,001320,ห้วยขวาง,Huaykhwang,10310,1320
106,004069400,พญาไท,Phayatai,10400,4069400
106,010,คลองเตย,Klongtoey,10110,10
106,011600,คลองสาน,Klongsan,10600,11600
106,012511,คลองสามวา,Klongsamwar,10510,12511
106,013,คันนายาว,Kannayao,10230,13
106,014900,จตุจักร,Chatuchak,10900,14900
106,015151,จอมทอง,Chom Thong,10150,15151
106,019210,ดอนเมือง,Don Mueang,10210,19210
106,020X01,ดินแดง,Dindaeng,10400,1000
106,021300,ดุสิต,Dusit,10300,21300
106,023170,ตลิ่งชัน,Taling Chan,10170,23170
106,024141,ทุ่งครุ,thung khru,10140,24141
106,025171,ทวีวัฒนา,Thawiwatthana,10170,25171
106,028601,ธนบุรี,Thonburi,10600,28601
106,029240,บางกะปิ,Bangkapi,10240,29240
106,031700,บางกอกน้อย,Bangkok Noi,10700,31700
106,032602,บางกอกใหญ่,Bangkok Yai,10600,32602
106,034150,บางขุนเทียน,Bang Khun Thian,10150,34150
106,038221,บางเขน,Bangkhen,10220,38221
106,039121,บางคอแหลม,Bangkholaem,10120,39121
106,040041162,บางแค,Bangkhae,10160,40041162
106,043800,บางซื่อ,Bang Sue,10800,43800
106,044261,บางนา,Bangna,10260,44261
106,046152,บางบอน,Bang Bon,10150,46152
106,049,บางพลัด,Bangprad,10700,49
106,056500,บางรัก,Bangrak,10500,56500
106,061241,บึงกุ่ม,Buengkum,10240,61241
106,064330,ปทุมวัน,Pathumwan,10330,64330
106,065250,ประเวศ,Prawet,10250,65250
106,066,ป้อมปราบศัตรูพ่าย,Pomprapsattruphai,10100,66
106,070260,พระโขนง,Phrakanong,10260,70260
106,071200,พระนคร,Phra Nakhon,10200,71200
106,075160,ภาษีเจริญ,Pasicharoen,10160,75160
106,078510,มีนบุรี,Minburi,10510,78510
106,079120,ยานนาวา,Yannawa,10120,79120
106,080140,ราษฎร์บูรณะ,Ratburana,10140,80140
106,082401,ราชเทวี,Rajthevee,10400,82401
106,084230,ลาดพร้าว,Ladprao,10230,84230
106,088231,วังทองหลาง,Wangtonglang,10310,88231
106,090902,วัฒนา,Wattana,10110,90902
106,095122,สาทร,Sathorn,10120,95122
106,096251,สวนหลวง,Suanluang,10250,96251
106,097,สะพานสูง,Saphansung,10240,97
106,099,สัมพันธวงศ์,Sampantawong,10100,99
106,101222,สายไหม,Saimai,10220,101222
106,106001,"บางรัก,สาทร(บางรัก)","Bangrak,Sathorn(Bangrak)",10500,NULL
106,1081,*บ้านทะวาย,หนอกจอก,NULL,1081
106,109161,หนองแขม,Nong  Khaem,10160,109161
106,111530,หนองจอก,Nong  Chok,10530,111530
106,113901,หลักสี่,Laksi,10210,113901
106,40041163,บางโพงพาง,Bangpongpang,NULL,40041163
106,40041164,ห้วยขวาง(บางซื่อ),NULL,NULL,40041164
106,40041165,แสนแสบ,San Sab,NULL,NULL
106,52083,ลาดกระบัง,Ladkrabang,10520,999
110,000100,เมืองนนทบุรี,Mueang Nonthaburi,11000,100
110,002150,ไทรน้อย,Sai Noi,11150,2150
110,003110,บางบัวทอง,Bang Bua Thong,11110,3110
