ProvinceID,ProvinceName,ProvinceNameEng,ISDelete
102,สมุทรปราการ,Samutprakan,0
106,กรุงเทพมหานคร,Bangkok,0
110,นนทบุรี,Nonthaburi,0
120,ปทุมธานี,Pathum Thani,0
130,พระนครศรีอยุธยา,Pranakornsriayuthaya,0
140,อ่างทอง,Ang Thong,0
150,ลพบุรี,Lop Buri,0
160,สิงห์บุรี,Sing Buri,0
170,ชัยนาท,Chai Nat,0
180,สระบุรี,Saraburi,0
200,ชลบุรี,Chon Buri,0
210,ระยอง,Rayong,0
220,จันทบุรี,Chantaburi,0
230,ตราด,Trat,0
240,ฉะเชิงเทรา,Chachoengsao,0
250,ปราจีนบุรี,Prachin Buri,0
260,นครนายก,Nakhon Nayok,0
270,สระแก้ว,Sa Kaeo,0
300,นครราชสีมา,Nakhon Ratchasima,0
310,บุรีรัมย์,Buri Ram,0
320,สุรินทร์,Surin,0
330,ศรีสะเกษ,Si Sa Ket,0
340,อุบลราชธานี,Ubon Ratchathani,0
350,ยโสธร,Yasothon,0
360,ชัยภูมิ,Chaiyaphum,0
370,อำนาจเจริญ,Amnat Charoen,0
390,หนองบัวลำภู,Nong Bua Lam Phu,0
400,ขอนแก่น,Khon Kaen,0
410,อุดรธานี,Udon Thani,0
420,เลย,Loei,0
430,หนองคาย,Nong Khai,0
440,มหาสารคาม,Maha Sarakham,0
450,ร้อยเอ็ด,Roi Et,0
460,กาฬสินธุ์,Kalasin,0
470,สกลนคร,Sakon Nakhon,0
480,นครพนม,Nakhon Phanom,0
490,มุกดาหาร,Mukdahan,0
500,เชียงใหม่,Chiang Mai,0
510,ลำพูน,Lamphun,0
520,ลำปาง,Lampang,0
530,อุตรดิตถ์,Utharadit,0
540,แพร่,Phrae,0
550,น่าน,Nan,0
560,พะเยา,Phayao,0
570,เชียงราย,Chiang Rai,0
580,แม่ฮ่องสอน,Mae Hong Son,0
600,นครสวรรค์,Nakhon Sawan,0
610,อุทัยธานี,Uthai Thani,0
620,กำแพงเพชร,Kamphaeng Phet,0
630,ตาก,Tak,0
640,สุโขทัย,Sukhothai,0
650,พิษณุโลก,Phitsanulok,0
660,พิจิตร,Phichit,0
670,เพชรบูรณ์,Phetchabun,0
700,ราชบุรี,Ratchaburi,0
710,กาญจนบุรี,Kanchanaburi,0
720,สุพรรณบุรี,Suphan Buri,0
730,นครปฐม,Nakhon Pathom,0
740,สมุทรสาคร,Samut Sakhon,0
750,สมุทรสงคราม,Samut Songkhram,0
760,เพชรบุรี,Phetchaburi,0
770,ประจวบคีรีขันธ์,Prachuap Khiri Khan,0
800,นครศรีธรรมราช,Nakhon Si Thammarat,0
810,กระบี่,Krabi,0
820,พังงา,Phangnga,0
830,ภูเก็ต,Phuket,0
840,สุราษฎร์ธานี,Surat Thani,0
850,ระนอง,Ranong,0
860,ชุมพร,Chumphon,0
900,สงขลา,Songkhla,0
910,สตูล,Satun,0
920,ตรัง,Trang,0
930,พัทลุง,Phatthalung,0
940,ปัตตานี,Phattani,0
950,ยะลา,Yala,0
960,นราธิวาส,Narathiwat,0
961,บึงกาฬ,Bueng Kan,0
