ProvinceID,DistrictID,SubDistrictID,LandOfficeID,SubDistrictName,SubDistrictNameEng,PostCode
730,000,7301023,NULL,หนองดินแดง,Nong  Din  Daeng,73000
730,000,7301024,NULL,หนองปากโลง,Nong Pak Long,73000
730,000,7301025,NULL,ห้วยจรเข้,Huai Cholakhe,73000
730,001140,7302001,NULL,กระตีบ,Kratip,73140
730,001140,7302002,NULL,กำแพงแสน,Kamphaeng  Saen,73140
730,001140,7302003,NULL,ดอนข่อย,Don Khoi,73140
730,001140,7302004,NULL,ทุ่งกระพังโหม,Thung Kraphang Hom,73140
730,001140,7302005,NULL,ทุ่งขวาง,Thung Khwang,73140
730,001140,7302006,NULL,ทุ่งบัว,Thung Khwang,73140
730,001140,7302007,NULL,ทุ่งลูกนก,Thung Luk Nok,73140
730,001140,7302008,NULL,รางพิกุล,Rang Phikun,73140
730,001140,7302009,NULL,วังน้ำเขียว,Wang Nam Khiao,73140
730,001140,7302010,NULL,สระพัฒนา,Sa Phatthana,73140
730,001140,7302011,NULL,สระสี่มุม,Sa Si Mum,73140
730,001140,7302012,NULL,หนองกระทุ่ม,Nong Krathum,73140
730,001140,7302013,NULL,ห้วยขวาง,Huai Khwang,73140
730,001140,7302014,NULL,ห้วยม่วง,Huai Muang,73140
730,001140,7302015,NULL,ห้วยหมอนทอง,Huai Mon Thong,73140
730,002150,7304001,NULL,ดอนพุทรา,Don Phutsa,73150
730,002150,7304002,NULL,ดอนรวก,Don Ruak,73150
730,002150,7304003,NULL,บ้านหลง,Ban  Long,73150
730,002150,7304004,NULL,ลำลูกบัว,Lam Luk Bua,73150
730,002150,7304005,NULL,ลำเหย,Lam Hoei,73150
730,002150,7304006,NULL,สามง่าม,Sam Ngam,73150
730,002150,7304007,NULL,ห้วยด้วน,Huai Duan,73150
730,002150,7304008,NULL,ห้วยพระ,Huai  Phra,73150
730,004120,7303001,NULL,คลองโยง,Khlong Yong,73120
